"Table","706.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** WEE","DAY LINK","D TRANSI","TRIPS O","PROJECT","(All Fix","d Guidew","y/0 car","H)***",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict MODE","Summary","for Scen","rio  3:","2023 BUI","D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Home-Ba","ed Work","ll Fixed","Guideway","All Acce","s 0 car","H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idist","Downt","Downt","West","Lower","MtAub","Corry","UCMed","MtAda","Walnu","Clift","North","Winto","BondH","Xavie","Finne","Colle","Amber","Wethe","Green","Bethe","Kenwo","Milfo","HydeP","Fores","Norwo","Oakle","North","East","West","India","Monfo","MtAir","EPric","Delhi","westw","Upper","N_Bou","Kentu","Devou","EastE","airpo","Other","Total"
"North","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"West","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","7"
"India","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Monfo","1","2","0","8","0","6","2","0","1","5","1","0","0","0","0","1","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","2","0","49"
"MtAir","1","4","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","3","1","0","44"
"EPric","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Delhi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","11"
"westw","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11"
"Upper","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","10"
"N_Bou","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Kentu","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","1","0","0","0","0","0","0","10"
"Devou","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"EastE","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"airpo","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","134","136","2","13","7","59","24","4","10","75","81","14","3","2","33","27","18","1","143","1","3","0","0","0","2","9","0","0","1","0","21","16","21","3","9","89","0","29","13","16","31","0","1047"
